model_name,train_cv_mape,valid_mape,test_b2_mape,test_b3_mape,gap_train_valid,gap_valid_test_b2,gap_target_test_b2,gap_b2_b3,gap_target_test_b3,feature_version
Ridge,9.25,6.61,26.23,13.34,2.63,-19.61,17.13,12.88,4.24,
Lasso,8.76,7.43,27.18,13.8,1.32,-19.75,18.08,13.38,4.7,
ElasticNet,8.93,6.77,25.9,13.32,2.16,-19.13,16.8,12.58,4.22,
GradientBoosting,9.35,7.86,35.26,15.21,1.49,-27.4,26.16,20.05,6.11,
Ridge,9.44,8.13,28.24,17.13,1.31,-20.11,19.14,11.11,8.03,v2
Lasso,9.07,7.09,25.24,13.32,1.98,-18.14,16.14,11.92,4.22,v2
ElasticNet,8.92,7.86,26.95,15.57,1.05,-19.09,17.85,11.39,6.47,v2
GradientBoosting,10.49,5.7,36.14,16.55,4.79,-30.44,27.04,19.59,7.45,v2
Ridge,8.72,8.05,31.17,19.19,0.67,-23.12,22.07,11.98,10.09,v2
Lasso,8.77,7.71,36.15,19.24,1.06,-28.44,27.05,16.91,10.14,v2
ElasticNet,8.81,8.29,33.04,19.41,0.52,-24.75,23.94,13.63,10.31,v2
GradientBoosting,10.01,7.5,37.18,18.14,2.51,-29.68,28.08,19.04,9.04,v2
Ridge,9.73,8.67,30.34,19.7,1.06,-21.67,21.24,10.63,10.6,v2
Lasso,10.53,8.56,29.72,18.42,1.97,-21.16,20.62,11.3,9.32,v2
ElasticNet,9.81,8.51,28.62,18.35,1.29,-20.1,19.52,10.27,9.25,v2
GradientBoosting,10.51,4.82,35.83,18.64,5.69,-31.0,26.73,17.19,9.54,v2
Ridge,9.37,7.92,27.17,15.95,1.45,-19.25,18.07,11.22,6.85,v2
Lasso,9.21,7.82,28.49,14.19,1.38,-20.67,19.39,14.3,5.09,v2
ElasticNet,9.0,8.02,27.66,16.56,0.98,-19.64,18.56,11.1,7.46,v2
GradientBoosting,10.49,5.7,36.14,16.55,4.79,-30.44,27.04,19.59,7.45,v2
Ridge,8.48,6.56,25.13,13.73,1.92,-18.58,16.03,11.4,4.63,v2_optuna
Lasso,8.38,7.26,25.47,13.35,1.12,-18.21,16.37,12.12,4.25,v2_optuna
ElasticNet,8.48,6.61,25.14,13.64,1.86,-18.53,16.04,11.5,4.54,v2_optuna
GradientBoosting,10.49,5.7,36.14,16.55,4.79,-30.44,27.04,19.59,7.45,v2_optuna
Ridge,8.48,6.56,25.13,13.73,1.92,-18.57,16.03,11.41,4.63,v2_optuna
Lasso,8.37,7.26,25.47,13.35,1.12,-18.21,16.37,12.12,4.25,v2_optuna
ElasticNet,8.48,6.65,25.14,13.61,1.82,-18.48,16.04,11.53,4.51,v2_optuna
GradientBoosting,8.11,6.44,30.03,16.59,1.67,-23.59,20.93,13.44,7.49,v2_optuna
Ridge,8.48,6.56,25.13,13.72,1.92,-18.57,16.03,11.41,4.62,v2_optuna
Lasso,8.37,7.26,25.47,13.35,1.12,-18.21,16.37,12.12,4.25,v2_optuna
ElasticNet,8.48,6.61,25.14,13.65,1.87,-18.53,16.04,11.49,4.55,v2_optuna
GradientBoosting,8.06,6.28,32.61,14.21,1.79,-26.33,23.51,18.39,5.11,v2_optuna
